starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:25 2023	1696717345	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:25 2023	1696717345	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:25 2023	1696717345	0	0	0	0
Sat Oct 07 18:22:25 2023	1696717345	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:25 2023	1696717345	0	0	0	0
Sat Oct 07 18:22:22 2023	1696717342	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:24 2023	1696717344	0	0	0	0
Sat Oct 07 18:22:25 2023	1696717345	0	0	0	0
