starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	19	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	20	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	20	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	20	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	20	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	20	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	20	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	20	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	20	19
Sun Oct 08 21:13:28 2023	1696814008	0	19	20	19
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	19
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	19
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	20	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	20	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	20
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	21
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	21
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	21
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	21
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	21
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	21
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	21
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	21
Sun Oct 08 21:13:28 2023	1696814008	0	21	21	21
Sun Oct 08 21:13:28 2023	1696814008	0	21	22	21
Sun Oct 08 21:13:28 2023	1696814008	0	21	22	21
Sun Oct 08 21:13:28 2023	1696814008	0	22	22	21
